,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent15_F1,Opponent15_M1,Opponent15_D1,Opponent15_D2,Opponent15_M2,Huskies_M1,Huskies_G1,Opponent15_D3,Opponent15_M3,Opponent15_G1,Huskies_F1,Huskies_M8,Huskies_D7,Huskies_M4,Opponent15_F2,Opponent15_D4,Huskies_D5,Huskies_D2,Huskies_D6,Huskies_F2,Opponent15_F3,Huskies_M6
0,Opponent15,3.1118700000000104,13.954763000000018,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,
1,Huskies,13.954763000000018,26.35167999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
2,Opponent15,26.35167999999999,48.74301200000002,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,True,True,True,,,,,,,,,,,,
3,Huskies,48.74301200000002,65.78400699999997,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,,,,,,,,
4,Huskies,65.78400699999997,119.99789800000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,True,,,,,,,,
5,Opponent15,119.99789800000002,163.856874,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,True,True,,,,,,True,True,,,,,,
6,Huskies,163.856874,175.26426999999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,True,True,,,,
7,Opponent15,175.26426999999998,177.720572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
8,Huskies,177.720572,268.061711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,
9,Opponent15,268.061711,271.495611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,
10,Opponent15,271.495611,313.706384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,
11,Huskies,313.706384,319.6412430000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,
12,Opponent15,319.6412430000001,369.380191,1.0,3.0,2.0,7.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,,,True,,,,,True,True,True,,,,,,True,,,,,,
