,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M6,Huskies_D6,Opponent16_D2,Opponent16_M1,Opponent16_F1,Opponent16_D1,Opponent16_M2,Opponent16_D4,Opponent16_F2,Opponent16_M3,Huskies_D5,Huskies_D2,Huskies_M4,Opponent16_D3,Opponent16_G1,Huskies_D7,Huskies_F2,Huskies_M1,Huskies_F1,Huskies_F4,Opponent16_F3,Huskies_G1
0,Huskies,11.365152999999992,33.10587899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent16,33.10587899999999,55.97936999999999,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,
2,Opponent16,55.97936999999999,104.10563100000002,1.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,True,True,True,True,,,,,,,,,,,,,
3,Opponent16,104.10563100000002,110.94788799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
4,Huskies,110.94788799999998,121.61064699999996,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,True,True,,,,,,,,,
5,Opponent16,121.61064699999996,339.69432200000006,7.0,16.0,7.0,22.0,0.0,0.0,7.0,6.0,4.0,2.0,0.0,0.0,0.0,,,True,True,True,True,True,True,True,True,,,,True,,,,,,,,
6,Opponent16,339.69432200000006,370.490817,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,True,True,,,,,,,,,,,,,
7,Opponent16,370.490817,429.508257,3.0,11.0,2.0,7.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,True,,,,,True,True,,,,,,,
8,Opponent16,429.508257,461.022033,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,True,,,,,True,,,,,,,,
9,Huskies,461.022033,465.69699699999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,,,
10,Opponent16,465.69699699999995,477.347204,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,True,,,,True,,,,,,,,
11,Huskies,477.347204,490.60936399999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,,
12,Opponent16,490.60936399999997,509.329497,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,,,,True,,,,,,,
13,Opponent16,509.329497,538.682957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,True,,,,,,,,
14,Huskies,538.682957,548.036792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,True,,
15,Opponent16,548.036792,568.070504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,True,,,,,,,,,,,,
16,Opponent16,568.070504,583.859017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,True,,,,,,,,,,,,,
17,Huskies,583.859017,641.8841219999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,True,,
18,Opponent16,641.8841219999999,649.763576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,
19,Opponent16,649.763576,662.621292,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,True,True,,,,,,,,,,,,
20,Huskies,662.621292,667.883195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,True,,
21,Opponent16,667.883195,732.919329,1.0,8.0,1.0,6.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,True,True,True,True,,,,True,,,,,,,,
22,Opponent16,732.919329,770.0487410000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,
23,Opponent16,770.0487410000001,775.433228,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,True,
24,Huskies,775.433228,796.9646809999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,True,,,,,,
25,Opponent16,796.9646809999999,809.405024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,,,,,,,,,,,,
26,Opponent16,809.405024,857.894614,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,True,,,,,,,,
27,Huskies,857.894614,861.38166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
28,Opponent16,861.38166,870.257724,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,True,,,,,,,,,,,,True,
