,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F2,Huskies_D6,Opponent17_M3,Opponent17_M2,Opponent17_M4,Opponent17_D1,Opponent17_D2,Huskies_M1,Huskies_M6,Opponent17_F1,Opponent17_D3,Opponent17_D4,Huskies_G1,Huskies_D2,Huskies_D7,Huskies_D5,Huskies_M3,Huskies_F1,Opponent17_M1,Opponent17_M5,Opponent17_G1,Huskies_M8,Huskies_M9,Opponent17_F2,Huskies_M4,Opponent17_M6,Huskies_D3
0,Huskies,3.615934999999809,55.37578399999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent17,55.37578399999985,64.75698599999987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Opponent17,64.75698599999987,72.05672199999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
3,Huskies,72.05672199999981,130.21090300000014,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,
4,Opponent17,130.21090300000014,205.1090949999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,,,,,,
5,Opponent17,205.1090949999998,256.635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
6,Opponent17,256.635898,310.0600159999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,,
7,Huskies,310.0600159999999,315.0412280000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,,,,,,
8,Opponent17,315.0412280000001,331.3306330000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
9,Huskies,331.3306330000001,377.8209860000002,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,True,True,True,True,,,,,,,,,,
10,Huskies,377.8209860000002,397.91407799999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,,
11,Opponent17,397.91407799999985,401.45265100000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
12,Huskies,401.45265100000006,408.22712199999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,,,
13,Huskies,408.22712199999984,421.3839269999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
14,Opponent17,421.3839269999999,431.646053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,,,,,,,,
15,Opponent17,431.646053,449.90548399999983,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,True,,,,,,,
16,Opponent17,449.90548399999983,555.2723489999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,,,,,,True,,,,,,
17,Opponent17,555.2723489999998,578.9300680000001,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,,,True,,,,,,,,
18,Huskies,578.9300680000001,600.9040249999998,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,True,,,,,,True,,,,,
19,Opponent17,600.9040249999998,634.1698820000001,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,,,True,,,,,,,,
20,Opponent17,634.1698820000001,700.4244450000001,3.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,True,True,,,,,,,True,True,,,,,,,
21,Opponent17,700.4244450000001,729.4394040000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
22,Huskies,729.4394040000003,782.9732709999997,3.0,6.0,5.0,8.0,0.0,0.0,3.0,4.0,4.0,2.0,0.0,0.0,6.0,,True,,,,,,True,,,,,,True,True,True,True,,,,,,,,,,
23,Opponent17,782.9732709999997,836.3465489999999,3.0,7.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,,,,,,True,True,,,,True,True,,,,,,,True,True,True,,,,,,
24,Huskies,836.3465489999999,858.0026309999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,,
25,Opponent17,858.0026309999997,892.8550009999999,6.0,13.0,2.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,True,,,,,,,,,,True,True,,,,,,
26,Huskies,892.8550009999999,959.9284469999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,,,,,,,,,
27,Huskies,959.9284469999997,967.1599569999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,True,,,,,,,,,,
28,Opponent17,967.1599569999997,970.7994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,,,,,,
29,Opponent17,970.7994,974.5827800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,,,,,,
30,Huskies,974.5827800000003,979.856541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,,,,,
31,Huskies,979.856541,985.399806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,,,,,,
32,Opponent17,985.399806,1108.0108220000004,3.0,9.0,4.0,11.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,True,,True,True,,,,True,True,,,,,,,True,True,,,,,,,
33,Opponent17,1108.0108220000004,1118.4566990000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,True,,,,,,,,
34,Huskies,1118.4566990000003,1124.449256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
35,Opponent17,1124.449256,1174.127665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
36,Huskies,1174.127665,1193.2040390000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,,,,,,,,,
37,Opponent17,1193.2040390000002,1207.9672799999996,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,True,,,,,,,,
38,Huskies,1207.9672799999996,1216.640464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,
39,Opponent17,1216.640464,1302.474381,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,True,,,,,,,True,,,,,,,,
40,Huskies,1302.474381,1308.5406320000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,,,,,,
41,Opponent17,1308.5406320000004,1333.3409880000002,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,True,True,,,,,,,True,True,True,,,,,,
42,Huskies,1333.3409880000002,1376.6262660000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,,,
43,Huskies,1376.6262660000002,1405.5710740000006,5.0,11.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,True,,,,True,,True,,True,,,,,,True,,,,
44,Opponent17,1405.5710740000006,1450.210903,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,True,,,,,,,,,True,,,,,,,
45,Huskies,1450.210903,1560.7553429999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,,,,,,,,,
46,Huskies,1560.7553429999996,1569.3469560000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,True,,,,
47,Huskies,1569.3469560000005,1573.4362720000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
48,Opponent17,1573.4362720000001,1588.579686,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,,,True,,,
49,Opponent17,1588.579686,1616.4817160000002,3.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,,,,,,,,,,,,True,,,
50,Opponent17,1616.4817160000002,1627.9880590000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,,True,,,
51,Opponent17,1627.9880590000002,1635.31718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,,,,,,,,
52,Opponent17,1635.31718,1708.3638119999994,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,,True,,,,,,,,True,,,,,,,
53,Huskies,1708.3638119999994,1714.8270149999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,True,,,,
54,Opponent17,1714.8270149999996,1718.8755370000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
55,Opponent17,1718.8755370000001,1773.921937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,,,,,,,
56,Huskies,1773.921937,1798.9736439999995,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,True,,,,,,,True,,,,
57,Huskies,1798.9736439999995,1812.21667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,True,True,,,,,,,,,,
58,Opponent17,1812.21667,1890.1901059999998,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,True,True,,,,,,,,True,,,,,,,
59,Opponent17,1890.1901059999998,1907.181304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,True,,,
60,Huskies,1907.181304,1987.80747,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,,True,,True,,
61,Opponent17,1987.80747,2025.862159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,,,
62,Opponent17,2025.862159,2037.145433,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,,True,,True,
63,Opponent17,2037.145433,2044.396286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,,,,,,
64,Huskies,2044.396286,2048.4679480000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,,,
65,Opponent17,2048.4679480000004,2071.578799,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,True,,,,,,,True,True,,,,,,,
66,Huskies,2071.578799,2094.637764,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,True,,,True,,,,,True,,True,,
67,Opponent17,2094.637764,2108.745863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,,,True,
68,Opponent17,2108.745863,2118.722683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,,,,,,
69,Huskies,2118.722683,2131.808312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,,True,,
70,Opponent17,2131.808312,2147.9481,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,True,,,,,,
71,Huskies,2147.9481,2186.9982980000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,True,,,,,,,,,
72,Huskies,2186.9982980000004,2223.988082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,,,,,,
73,Opponent17,2223.988082,2237.879089,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,True,,,,,,,,
74,Opponent17,2237.879089,2275.314935000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,True,,,
75,Opponent17,2275.314935000001,2285.8300649999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,True,,,True,,,
76,Opponent17,2285.8300649999996,2306.292938,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,True,,,,,,,,True,,,,,,True,
77,Huskies,2306.292938,2403.307544,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,True,,,,,,,True,,
