,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent3_M2,Opponent3_F2,Opponent3_M5,Opponent3_F4,Opponent3_M4,Opponent3_M3,Opponent3_D5,Huskies_D1,Huskies_D7,Huskies_D3,Huskies_F3,Huskies_M6,Opponent3_D2,Opponent3_G1,Huskies_D2,Huskies_M11,Opponent3_D4,Huskies_F1,Huskies_G1,Huskies_M3,Huskies_D5,Opponent3_D1,Opponent3_M1,Opponent3_F3,Opponent3_D6
0,Opponent3,1.4101390000000718,40.25947700000006,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
1,Opponent3,40.25947700000006,74.15921299999991,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,
2,Opponent3,74.15921299999991,139.39855500000021,2.0,5.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,True,True,True,,,,,,,,,,,,,,,,,,,
3,Opponent3,139.39855500000021,150.69806000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,
4,Huskies,150.69806000000014,160.5374099999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,,,,,,
5,Huskies,160.5374099999999,166.24806200000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,
6,Huskies,166.24806200000015,178.91845800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,,
7,Huskies,178.91845800000007,195.17502699999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,,,,
8,Opponent3,195.17502699999974,357.098837,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,True,,,,,,,,,,,
9,Huskies,357.098837,359.7089569999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,
10,Opponent3,359.7089569999998,381.29943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,
11,Huskies,381.29943,397.30821699999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,
12,Opponent3,397.30821699999984,400.1974030000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,,,
13,Huskies,400.1974030000002,416.53206800000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,True,True,,,,,,
