,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent6_M3,Opponent6_D3,Opponent6_D5,Opponent6_F2,Huskies_D5,Huskies_M3,Huskies_M1,Huskies_F1,Huskies_M6,Opponent6_M4,Huskies_G1,Huskies_D3,Opponent6_M5,Opponent6_D4,Huskies_D1,Huskies_M13,Opponent6_M6,Opponent6_D2,Huskies_D7,Huskies_M8,Opponent6_F5,Opponent6_G1,Opponent6_F3,Huskies_F2
0,Opponent6,4.52556899999999,11.270874999999991,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,11.270874999999991,15.209689999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,
2,Huskies,15.209689999999995,19.571469000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,
3,Huskies,19.571469000000008,28.14768100000001,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,True,,,,,,,,,,,,,,,
4,Opponent6,28.14768100000001,30.396466999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,,,,,,,,
5,Huskies,30.396466999999998,34.53913299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,
6,Opponent6,34.53913299999999,46.996583999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,
7,Huskies,46.996583999999984,80.292846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,,,,,,,,,
8,Opponent6,80.292846,86.05334499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,
9,Huskies,86.05334499999998,90.392336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,
10,Opponent6,90.392336,183.96175300000002,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,True,True,,,,,,
11,Huskies,183.96175300000002,191.523624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,
12,Huskies,191.523624,215.411434,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,True,,True,True,,,True,,,,,,,,,
13,Opponent6,215.411434,223.334513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,,,
14,Huskies,223.334513,299.297002,11.0,27.0,10.0,21.0,2.0,0.0,10.0,2.0,10.0,5.0,0.0,0.0,0.0,,,,,True,True,True,,True,,True,True,,,True,True,,,True,,,,,
15,Opponent6,299.297002,307.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,True,,,,,,
16,Huskies,307.515625,380.39488100000005,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,True,,,True,,,,,
17,Huskies,380.39488100000005,386.741237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,True,,,,,
18,Opponent6,386.741237,405.14936,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,True,,,,,,
19,Opponent6,405.14936,420.724604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,,,
20,Opponent6,420.724604,426.126068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,
21,Opponent6,426.126068,482.984728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,
22,Huskies,482.984728,491.023975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,,,
23,Huskies,491.023975,500.811088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,
24,Huskies,500.811088,507.820865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,True,,,,
25,Opponent6,507.820865,516.508021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,,,
26,Opponent6,516.508021,540.511641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,,,
27,Huskies,540.511641,581.72151,4.0,12.0,2.0,6.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,,,True,,,,True,,,,,
28,Huskies,581.72151,627.054006,4.0,8.0,2.0,10.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,True,True,True,,,True,,,,True,,,True,True,,,,
29,Huskies,627.054006,650.853679,3.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,,,,,,,,True,,,True,,,,,
30,Opponent6,650.853679,678.4222219999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,,,
31,Huskies,678.4222219999999,687.8016150000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,True,,,,,,,,,,,,
32,Opponent6,687.8016150000001,707.489957,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,True,True,,,True,,,,,,,
33,Opponent6,707.489957,717.266795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,True,,,,,,
34,Huskies,717.266795,731.220064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,True,,,,,,,,,,,,,
35,Huskies,731.220064,742.926568,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,True,,,,,,,,
36,Opponent6,742.926568,752.219118,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,True,,,,,,,,,,,,,,
37,Huskies,752.219118,756.436819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,,,
38,Opponent6,756.436819,784.524913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,
39,Opponent6,784.524913,804.21685,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,True,,,True,True,,,,,,
40,Opponent6,804.21685,852.7085910000002,2.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,True,,,,True,,,True,,,,True,,,
41,Huskies,852.7085910000002,855.873333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,,,
42,Opponent6,855.873333,894.2577819999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,,,
43,Opponent6,894.2577819999998,910.724513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,
44,Opponent6,910.724513,919.394857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,True,,,,,,
45,Opponent6,919.394857,947.28031,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,True,,,,,,,,,,,
46,Huskies,947.28031,965.5967810000001,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,True,,,True,,,,True,,,,,
47,Huskies,965.5967810000001,998.718983,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,True,,,,True,True,,,,
48,Huskies,998.718983,1033.307787,3.0,9.0,3.0,6.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,,,,,,True,True,,True,,,True,,,True,True,,,,True,,,,
49,Opponent6,1033.307787,1076.208499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,
50,Huskies,1076.208499,1084.242391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,,,
51,Opponent6,1084.242391,1093.416443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,
52,Huskies,1093.416443,1111.2670150000001,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,True,True,,,True,True,,,,,,,,
53,Huskies,1111.2670150000001,1168.797504,1.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,True,,,,,,,True,,,True,,,,,
54,Huskies,1168.797504,1202.194769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,,,
55,Opponent6,1202.194769,1259.8579300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,
56,Huskies,1259.8579300000001,1319.3620429999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,True,,,,True,,,,,
57,Opponent6,1319.3620429999999,1323.148665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,,,
58,Huskies,1323.148665,1340.00079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,,,
59,Huskies,1340.00079,1343.168914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,
60,Opponent6,1343.168914,1374.272347,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,True,,,,True,,,,,,
61,Huskies,1374.272347,1427.671318,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,True,True,,,,True,,,,
62,Huskies,1427.671318,1450.941472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,True,,,,,,,,,,,,
63,Huskies,1450.941472,1548.732907,9.0,26.0,0.0,9.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,True,True,True,,True,True,,,True,,,,True,True,,,,
64,Opponent6,1548.732907,1566.0522429999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,True,,,,,,
65,Opponent6,1566.0522429999999,1574.54959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,
66,Huskies,1574.54959,1595.86806,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,True,,,True,,,,True,,,,,,,,,
67,Opponent6,1595.86806,1599.4357400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,,,
68,Huskies,1599.4357400000001,1607.828193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,,,
69,Opponent6,1607.828193,1618.905651,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,True,,,,,,,,,,,
70,Opponent6,1618.905651,1748.8592390000001,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,True,,,,,,
71,Opponent6,1748.8592390000001,1759.0646780000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,True,,
72,Opponent6,1759.0646780000002,1778.1270969999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,True,,,
73,Opponent6,1778.1270969999998,1780.835076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,,,
74,Opponent6,1780.835076,1783.465886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,
75,Huskies,1783.465886,1797.626454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,True,,,,
76,Huskies,1797.626454,1820.8104309999999,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,True,,,,,,,True,,,,True,,,,
77,Huskies,1820.8104309999999,1862.832023,2.0,8.0,2.0,12.0,0.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,,,,,,True,True,,True,,True,True,,,True,,,,True,,,,,
78,Huskies,1862.832023,1873.990738,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,True,True,,,,
79,Huskies,1873.990738,1912.434075,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,True,,,,,,,,,,,,,,,,
80,Huskies,1912.434075,1923.785342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,True,,,,,,,,
81,Opponent6,1923.785342,2017.949235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,True,,,
82,Huskies,2017.949235,2052.880368,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,True,,,,,,,True,,,,,
83,Huskies,2052.880368,2071.623563,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,True,,,True,,,,,,,,,
84,Huskies,2071.623563,2102.456981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,True,,,,,
85,Huskies,2102.456981,2112.673322,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,True,,,,True,True,,,,
86,Opponent6,2112.673322,2120.0794170000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,
87,Huskies,2120.0794170000004,2154.399932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,True,,,,
88,Huskies,2154.399932,2334.753146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,True,,,,
89,Opponent6,2334.753146,2370.937766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,True,,
90,Huskies,2370.937766,2397.962388,1.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,,,True,,,,,,,,,
91,Huskies,2397.962388,2445.711695,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,True,,,True,,,,,
92,Opponent6,2445.711695,2452.754534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,,,
93,Opponent6,2452.754534,2454.8977670000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,,,
94,Huskies,2454.8977670000004,2462.363047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,,,
95,Opponent6,2462.363047,2484.7830050000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,,,
96,Huskies,2484.7830050000002,2493.947847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,
97,Opponent6,2493.947847,2503.7419640000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,True,,
98,Huskies,2503.7419640000003,2530.7527579999996,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,True,,,,True,,,,,,,,
99,Huskies,2530.7527579999996,2536.258429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,,,
100,Opponent6,2536.258429,2536.948046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,True,
