,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_M4,Opponent5_D6,Opponent5_M7,Opponent5_D5,Opponent5_M6,Opponent5_M4,Opponent5_M1,Opponent5_D1,Opponent5_F3,Opponent5_M5,Opponent5_D7,Huskies_D2,Huskies_F2,Huskies_M12,Huskies_M3,Huskies_G1,Huskies_F4,Huskies_D5,Huskies_D6,Huskies_M9,Opponent5_G1,Huskies_M13,Huskies_M8,Opponent5_F2,Huskies_F1
0,Huskies,3.3715080000001763,10.551629000000046,50.0,29.0,-21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent5,10.551629000000046,41.33977999999979,40.0,29.0,-11.0,4.0,0.0,1.0,8.0,2.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,
2,Opponent5,41.33977999999979,121.29593100000014,47.0,29.0,-18.0,1.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,True,,True,,,,,,,,,,,,,,,
3,Opponent5,121.29593100000014,144.17028200000004,83.0,82.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,,,,
4,Huskies,144.17028200000004,157.88421500000004,11.0,29.0,18.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,
5,Opponent5,157.88421500000004,167.13831500000015,63.0,29.0,-34.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,True,,True,,,,,,,,,,,,,,
6,Huskies,167.13831500000015,178.0192480000001,27.0,29.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,True,,,,,,,,
7,Opponent5,178.0192480000001,210.69320000000016,25.0,29.0,4.0,0.0,0.0,2.0,7.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,True,,True,,True,True,True,,,,,,,,,,,,,,
8,Opponent5,210.69320000000016,251.4561520000002,59.0,29.0,-30.0,2.0,0.0,4.0,12.0,0.0,8.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,True,True,True,True,,,,,,,,,,,,,,
9,Huskies,251.4561520000002,293.116634,23.0,29.0,6.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,True,,,,,,,
