,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent7_M1,Opponent7_D1,Huskies_M4,Huskies_M6,Huskies_F1,Huskies_D5,Opponent7_D4,Opponent7_M2,Huskies_M1,Huskies_D1,Opponent7_M7,Opponent7_F2,Opponent7_M6,Huskies_F6,Opponent7_D3,Opponent7_D2,Opponent7_G1,Huskies_M8,Huskies_D2,Huskies_D8,Huskies_F5,Huskies_G1
0,Opponent7,0.1114650000000097,9.595111000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,9.595111000000003,15.304781999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
2,Huskies,15.304781999999989,18.799924000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
3,Opponent7,18.799924000000004,22.336378999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
4,Huskies,22.336378999999994,37.169231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,
5,Huskies,37.169231,50.47888699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,
6,Opponent7,50.47888699999999,103.497302,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,True,,,,,,,,,,
7,Opponent7,103.497302,130.91249499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
8,Huskies,130.91249499999998,170.91230900000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,True,,,,,,,,
9,Opponent7,170.91230900000002,177.15320200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
10,Huskies,177.15320200000005,181.48486000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,,,,,
11,Opponent7,181.48486000000003,205.479998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,
12,Opponent7,205.479998,218.18258,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,True,,True,True,,,,,,
13,Opponent7,218.18258,232.104763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,
14,Opponent7,232.104763,264.09966000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,True,,,,
15,Huskies,264.09966000000003,270.174172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,
16,Opponent7,270.174172,309.141899,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,True,True,,,,,,True,,,,
17,Opponent7,309.141899,338.13982000000004,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,True,,True,,True,,True,,,,,
18,Opponent7,338.13982000000004,357.582541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,
19,Huskies,357.582541,362.322094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,
20,Huskies,362.322094,389.937033,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,True,,,,,,,True,
21,Huskies,389.937033,445.789613,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,True,,,,,,,,,True,True,,
22,Opponent7,445.789613,457.535902,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,True,,,,,True,,,,,,
23,Opponent7,457.535902,512.671751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,True,,,,,,,,,,,
24,Huskies,512.671751,521.142682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,
25,Opponent7,521.142682,545.276012,3.0,10.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,,True,,True,,,True,,,,
26,Opponent7,545.276012,580.459804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
27,Huskies,580.459804,589.821066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,
28,Opponent7,589.821066,630.615895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,,,,,,
