,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent2_F1,Opponent2_M1,Opponent2_F2,Opponent2_D1,Opponent2_D2,Huskies_D4,Huskies_F2,Opponent2_M2,Huskies_G1,Huskies_D1,Opponent2_D3,Opponent2_M4,Opponent2_G1,Huskies_F1,Huskies_M1,Huskies_D6,Opponent2_M3,Opponent2_D4,Huskies_M4,Huskies_D3,Huskies_M3,Huskies_D2
0,Opponent2,1.6955560000000034,37.255054,49.0,43.0,-6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,
1,Opponent2,37.255054,43.463685,33.0,61.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,
2,Huskies,43.463685,68.094679,43.0,41.0,-2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
3,Opponent2,68.094679,76.259135,67.0,9.0,-58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
4,Opponent2,76.259135,96.644054,91.0,43.0,-48.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,True,,,,,,,,,,,,,,
5,Huskies,96.644054,141.13452,12.0,28.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
6,Opponent2,141.13452,173.929738,6.0,43.0,37.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,True,,,,,,True,True,True,,,,,,,,,
7,Huskies,173.929738,208.430173,38.0,43.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,
8,Opponent2,208.430173,221.338154,27.0,43.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,,,,,,
9,Opponent2,221.338154,249.37384900000004,58.0,43.0,-15.0,0.0,0.0,2.0,3.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,True,True,,,,,True,,,,,
10,Huskies,249.37384900000004,253.81469600000003,41.0,36.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
11,Opponent2,253.81469600000003,376.110583,63.0,43.0,-20.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,True,,,,,,,,,True,True,,,,
12,Opponent2,376.110583,461.00264400000003,15.0,43.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,True,,,,,,,,,,
