,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F5,Huskies_M9,Opponent15_M5,Opponent15_D5,Huskies_D4,Huskies_G1,Huskies_M1,Huskies_D8,Huskies_D3,Huskies_F6,Opponent15_M6,Opponent15_D6,Opponent15_D3,Opponent15_F3,Opponent15_D1,Huskies_F2,Opponent15_M3,Opponent15_F4,Opponent15_G1,Opponent15_M7,Huskies_M3
0,Huskies,1.8538080000000008,9.771766,50.0,31.0,-19.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Opponent15,9.771766,57.40097800000001,29.0,26.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
2,Huskies,57.40097800000001,77.584202,30.0,28.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
3,Huskies,77.584202,97.093027,65.0,31.0,-34.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,,,,,,,,,,,
4,Huskies,97.093027,107.489707,39.0,31.0,-8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,True,True,,,,,,,,,,,
5,Opponent15,107.489707,127.895212,37.0,42.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,
6,Opponent15,127.895212,143.73101699999998,45.0,31.0,-14.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,True,True,True,True,,,,,,
7,Huskies,143.73101699999998,154.204738,30.0,31.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,True,,,,,
8,Huskies,154.204738,163.43204,62.0,31.0,-31.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,True,,,,,
9,Opponent15,163.43204,219.560465,37.0,31.0,-6.0,2.0,0.0,2.0,13.0,2.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,,,,True,True,,,,,,,True,True,True,True,True,,True,True,True,,
10,Opponent15,219.560465,241.347868,69.0,31.0,-38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,True,
11,Huskies,241.347868,255.85263200000003,38.0,31.0,-7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,True,,,,,,,True,,,,,
12,Huskies,255.85263200000003,269.456921,52.0,63.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
13,Opponent15,269.456921,335.840419,73.0,31.0,-42.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,True,
14,Opponent15,335.840419,346.194704,12.0,29.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,
15,Huskies,346.194704,383.106569,57.0,31.0,-26.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,True,,,,,
16,Opponent15,383.106569,389.582992,60.0,71.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
17,Opponent15,389.582992,396.539832,85.0,90.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,
18,Huskies,396.539832,434.93453,25.0,31.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,True,,,,,
19,Huskies,434.93453,455.961783,38.0,31.0,-7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,True,,,,,,,,,,,,,,True
20,Huskies,455.961783,462.82835300000005,38.0,28.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True
21,Huskies,462.82835300000005,469.731798,54.0,31.0,-23.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,True,,,,,
22,Opponent15,469.731798,477.48531299999996,32.0,4.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,True,,
23,Huskies,477.48531299999996,480.924293,46.0,67.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,
24,Opponent15,480.924293,526.543334,39.0,31.0,-8.0,5.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,True,,,True,,,True,
25,Huskies,526.543334,540.201971,27.0,31.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,True,,,True,,,,,,,,,,,True
26,Opponent15,540.201971,572.1997230000001,32.0,31.0,-1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,True,,,True,,,,
27,Huskies,572.1997230000001,579.285145,11.0,8.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True
28,Opponent15,579.285145,598.871016,55.0,31.0,-24.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,True,,True,,,,
29,Huskies,598.871016,605.9228400000001,34.0,46.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,
