,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent4_M1,Opponent4_D3,Opponent4_D4,Opponent4_D2,Opponent4_D1,Huskies_D4,Huskies_M3,Huskies_M6,Opponent4_G1,Opponent4_M3,Huskies_D2,Huskies_F3,Huskies_M2,Huskies_F2,Huskies_D5,Huskies_M1,Huskies_G1,Opponent4_D5,Opponent4_F1,Opponent4_M2,Huskies_D1,Opponent4_M4
0,Opponent4,1.1216419999999996,14.356845000000002,50.0,26.0,-24.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,
1,Huskies,14.356845000000002,21.932058,58.0,26.0,-32.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,
2,Opponent4,21.932058,34.141785,30.0,26.0,-4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,True,True,,,,,,,,,,,,
3,Huskies,34.141785,39.314738,41.0,62.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
4,Huskies,39.314738,59.255034,71.0,70.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,
5,Huskies,59.255034,81.811714,92.0,26.0,-66.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,True,,,,,,,,
6,Huskies,81.811714,85.583365,58.0,73.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
7,Huskies,85.583365,133.638339,63.0,26.0,-37.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,True,,,,,
8,Opponent4,133.638339,142.160197,27.0,19.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,
9,Huskies,142.160197,153.01055300000002,25.0,26.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,True,,,,,
10,Opponent4,153.01055300000002,161.869458,61.0,56.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,
11,Opponent4,161.869458,200.171128,59.0,26.0,-33.0,0.0,0.0,4.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,True,,,,,,,,,True,True,,
12,Huskies,200.171128,219.429925,22.0,26.0,4.0,2.0,0.0,4.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,True,True,,,True,,,,,
13,Opponent4,219.429925,241.241597,29.0,26.0,-3.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,True,,,,,,,,,,,,,
14,Huskies,241.241597,248.178655,46.0,26.0,-20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,
15,Opponent4,248.178655,258.209058,27.0,7.0,-20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
16,Opponent4,258.209058,275.604542,14.0,6.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
17,Huskies,275.604542,279.41155499999996,66.0,26.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,
18,Opponent4,279.41155499999996,330.331789,29.0,36.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
19,Opponent4,330.331789,338.378548,83.0,26.0,-57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,True,,,,
20,Huskies,338.378548,381.478453,20.0,26.0,6.0,0.0,1.0,2.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,True,,True,,,,True,True,True,True,True,,,,,,
21,Huskies,381.478453,386.044006,30.0,42.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,
22,Opponent4,386.044006,396.114071,68.0,26.0,-42.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,True,,
23,Huskies,396.114071,422.382592,23.0,26.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,True,
24,Huskies,422.382592,429.75998899999996,31.0,26.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,,True,
25,Opponent4,429.75998899999996,474.824214,27.0,26.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,,,,,,,,,,,,,,,
26,Huskies,474.824214,496.439917,60.0,26.0,-34.0,2.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,True,True,,True,,,,True,
27,Opponent4,496.439917,498.48464800000005,75.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
