,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent7_M1,Opponent7_D3,Opponent7_F1,Huskies_M3,Huskies_D2,Huskies_D4,Huskies_M1,Huskies_F4,Huskies_D5,Huskies_M9,Huskies_M6,Opponent7_D2,Huskies_D1,Opponent7_G1,Opponent7_D4,Opponent7_M4,Huskies_F1,Huskies_G1,Opponent7_M2,Opponent7_M5,Opponent7_D1,Opponent7_M3,Huskies_F2,Huskies_M4,Huskies_F3
0,Opponent7,4.162514999999985,12.755368000000091,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,12.755368000000091,25.62530000000015,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,,,,,,,,,,,,,
2,Huskies,25.62530000000015,35.489219999999925,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,,,,,,,,,,,,,,,
3,Huskies,35.489219999999925,97.61361799999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,,,,
4,Huskies,97.61361799999986,107.02193799999986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,,,,,,,,,,,,,,,
5,Opponent7,107.02193799999986,112.53830599999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,
6,Huskies,112.53830599999992,140.1979369999999,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,True,True,True,,,,,,,,,,,,,,
7,Huskies,140.1979369999999,182.689472,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,True,,,True,,,,,,,,,,,,
8,Opponent7,182.689472,220.16475600000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,,,,
9,Huskies,220.16475600000007,234.92567700000015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,True,,,,,,,,,,,,
